,Company,Sub-Sector,MarketCap,CMP,PE,Ret_1M,Ret_6M,Ret_1Y,PB,ROE,ROCE
124,Info Edge (India) Ltd,Online Services,87163.52,"1,332.00",90.59,-2.95,-9.6,-18.73,2.37,2.81,4.83
125,Aditya Birla Capital Ltd,Diversified Financials,86769.92,345.45,26.04,8.55,55.64,81.34,2.68,10.93,3.22
126,Ashok Leyland Ltd,Trucks & Buses,84930.06,145.83,27.34,5.91,21.58,24.16,5.36,22.46,15.5
127,JSW Energy Ltd,Power Generation,84006.78,476.6,43.06,-9.54,-5.61,-29.4,2.89,7.79,5.77
128,SRF Ltd,Diversified Chemicals,83221.27,"2,793.80",66.54,-9.07,-3.38,25.65,6.59,10.38,12.92
129,SBI Cards and Payment Services Ltd,Payment Infrastructure,82756.09,873.4,43.18,-2.94,-3.65,25.71,6,14.82,8.98
130,PB Fintech Ltd,Online Services,82072.63,"1,765.90",232.49,5.66,-1.26,-2.24,12.75,5.73,6.22
131,One 97 Communications Ltd,Online Services,80598.28,"1,241.40",-122.36,-2.09,42.69,39.02,5.37,-4.66,-4.11
132,Ntpc Green Energy Ltd,Renewable Energy,80302.92,94.75,168.89,-5.98,-15.84,-22.11,4.33,3.84,3.48
133,Fsn E-Commerce Ventures Ltd,Wellness Services,77613.16,270.45,"1,174.53",7.22,35.05,60.93,57.81,5.04,12.95
134,NHPC Ltd,Renewable Energy,77306.59,77.23,25.71,-9.51,-11.29,-6.31,1.71,6.75,6.44
135,Suzlon Energy Ltd,Renewable Energy Equipment & Services,74879.81,54.19,36.15,1.24,-15.81,-15.63,12.26,41.33,24.15
136,Indian Overseas Bank,Public Banks,74003.07,38.84,21.79,-3.08,1.84,-25.96,2.3,11.36,5.52
137,UNO Minda Ltd,Auto Parts,73797.80,"1,285.30",78.26,7.84,26.88,19.3,12.07,16.57,19.26
138,GE Vernova T&D India Ltd,Heavy Electrical Equipments,73329.17,"2,855.50",120.54,-1.6,37.71,48.77,41.36,40.34,45.22
139,L&T Finance Ltd,Consumer Finance,73172.01,296.9,27.68,9.24,70.35,110.66,2.85,10.76,3.9
140,Oracle Financial Services Software Ltd,Software Services,70883.70,"8,084.00",29.79,-5.54,-4.35,-32.4,8.48,29.34,37.14
141,Prestige Estates Projects Ltd,Real Estate,70265.02,"1,655.90",150.3,-7.3,15.1,-4.28,4.42,3.37,9.18
142,Yes Bank Ltd,Private Banks,69653.36,22.7,28.47,-2.25,8.15,18.35,1.46,5.44,2.31
143,Fortis Healthcare Ltd,Hospitals & Diagnostic Centres,69622.24,920.4,89.93,-11.57,29.96,31.89,7.59,8.74,10.12
144,Aurobindo Pharma Ltd,Pharmaceuticals,69347.71,"1,208.00",19.89,8.82,2.29,-2.72,2.12,11.15,15.87
145,AU Small Finance Bank Ltd,Consumer Finance,69073.52,944.05,32.8,7.59,35.08,58.32,4.02,14.17,8.3
146,Oil India Ltd,Oil & Gas - Exploration & Production,68415.12,421.05,10.44,-0.08,-1.55,-18.83,1.25,12.21,11.77
147,Coromandel International Ltd,Fertilizers & Agro Chemicals,67793.17,"2,304.10",32.81,6.21,-3.98,28.33,6.04,20,25.07
148,Rail Vikas Nigam Ltd,Specialized Finance,67731.88,322.9,52.86,-1.59,-21.64,-26.3,7.08,14.01,14.76
149,Berger Paints India Ltd,Paints,67540.28,569.15,57.22,6.66,3.88,19.59,10.95,20.43,24.19
150,Bharat Forge Ltd,Iron & Steel,67515.68,"1,409.70",71.74,9.56,12.8,6.83,7.32,11.49,16.63
151,Alkem Laboratories Ltd,Pharmaceuticals,67255.31,"5,701.00",31.06,1.28,8.61,4.07,5.41,18.71,19.29
152,IDFC First Bank Ltd,Private Banks,67000.33,79.35,44.96,-0.55,19.11,22.74,1.76,4.23,2.02
153,Bank of India Ltd,Public Banks,66400.66,147.21,6.95,8.61,25.49,37.58,0.82,12.59,5.35
154,General Insurance Corporation of India,Insurance,66325.09,382.15,8.92,-1.69,-11.44,-3.09,1.08,12.73,10.25
155,Adani Total Gas Ltd,Gas Distribution,66197.57,604.75,101.16,-3.35,-9.7,0.72,15.73,16.81,15.92
156,MRF Ltd,Tires & Rubber,65930.69,"1,54,780.00",35.27,-3.41,5.56,24.33,3.57,10.62,13.81
157,Torrent Power Ltd,Power Transmission & Distribution,65623.36,"1,293.00",21.96,-1.68,-9.33,-19.91,3.6,19.4,14.89
158,Indusind Bank Ltd,Private Banks,65134.65,839.9,25.29,10.79,4.97,-16.3,1,4.02,2.44
159,NMDC Ltd,Mining - Iron Ore,63775.84,72.7,9.77,-2.66,-0.74,-3.84,2.15,23.59,29.74
160,Abbott India Ltd,Pharmaceuticals,63057.30,"30,205.00",44.58,-0.27,-0.05,8.81,14.9,35.66,42.09
161,Lloyds Metals and Energy Ltd,Mining - Iron Ore,62968.96,"1,188.80",43.43,-10.8,-11.88,23.13,9.84,31.48,26.34
162,UPL Ltd,Fertilizers & Agro Chemicals,62690.66,749.7,69.89,10.25,18.61,37.46,1.66,2.54,7.76
163,Vishal Mega Mart Ltd,FMCG - Foods,62400.80,133.93,98.74,-9.82,6.99,19.66,9.75,10.51,13.44
164,Jindal Stainless Ltd,Iron & Steel,62148.67,746.55,24.81,-5.41,13.48,11.04,3.72,16.12,17.42
165,Schaeffler India Ltd,Auto Parts,62121.33,"3,917.30",66.17,1.13,-2.09,15.24,11.65,18.52,23.77
166,Patanjali Foods Ltd,Packaged Foods & Meats,61979.01,569.35,47.65,-2.44,-1.83,-3.05,5.45,-,15.95
167,Godrej Properties Ltd,Real Estate,61638.87,"2,094.00",44.03,-11.38,-6.8,-28.85,3.51,10.04,8.75
168,Federal Bank Ltd,Private Banks,61063.83,255.99,14.68,8.09,26.79,20.25,1.72,12.53,7.22
169,Coforge Ltd,IT Services & Consulting,60556.01,"1,831.70",74.57,-1.8,8.31,6.35,7.27,13.47,14.72
170,Phoenix Mills Ltd,Real Estate,60000.41,"1,731.70",60.96,-0.65,8.44,3.65,4.33,7.5,10.48
171,Colgate-Palmolive (India) Ltd,FMCG - Personal Products,58659.14,"2,167.70",40.83,-3.65,-13.65,-23.53,35.24,81.2,111.07
172,Oberoi Realty Ltd,Real Estate,58434.52,"1,629.60",26.26,-5.74,-6.42,-16.3,3.72,15.06,16.71
173,Max Financial Services Ltd,Insurance,57965.48,"1,697.90",177.15,10.97,14.99,45.14,9.05,6.07,6.64
174,Motilal Oswal Financial Services Ltd,Diversified Financials,56857.97,945.9,22.73,-9.12,20.83,4.23,5.11,25.14,18.37
175,Tube Investments of India Ltd,Cycles,56297.53,"2,879.70",83.56,-7.93,-5.8,-15.19,7.32,9.33,16.2
176,Fertilisers And Chemicals Travancore Ltd,Fertilizers & Agro Chemicals,56084.96,866.5,"1,360.63",-2.6,-6.4,3.89,40.92,3.02,19.24
177,JSW Infrastructure Ltd,Ports,55989.61,267.3,37.25,-9,-6.99,-12.07,5.34,16.06,13.4
