,Company,Sub-Sector,MarketCap,CMP,PE,Ret_1M,Ret_6M,Ret_1Y,PB,ROE,ROCE
279,Dr. Lal PathLabs Ltd,Hospitals & Diagnostic Centres,26050.92,"3,142.40",53.48,1.04,9.72,1.66,11.81,23.81,28
280,Emcure Pharmaceuticals Ltd,Pharmaceuticals,25816.84,"1,421.50",37.89,0.84,1.29,8.34,5.56,17.55,21.03
281,Syngene International Ltd,Labs & Life Sciences Services,25697.77,642.05,51.79,-3.38,-1.25,-28.29,5.44,11.05,13.2
282,Nuvama Wealth Management Ltd,Diversified Financials,25612.09,"6,972.50",25.97,-1.78,1.26,5.56,7.33,30.86,14.56
283,Ather Energy Ltd,Two Wheelers,25609.32,684.95,-31.53,-4.97,114.45,126.58,51.95,-156.38,-75.66
284,Amber Enterprises India Ltd,Home Electronics & Appliances,24773.43,"7,138.00",101.71,-15.44,11.1,9.23,10.72,11.01,14.95
285,Piramal Pharma Ltd,Pharmaceuticals,24641.36,184.87,270.4,-8.38,-9.94,-26.14,3.03,1.14,7.17
286,HBL Engineering Ltd,Batteries,24537.30,881.6,88.6,-5.75,58.78,56.87,16.55,20.5,24.91
287,ZF Commercial Vehicle Control Systems India Ltd,Auto Parts,24526.98,"12,787.00",53.24,-0.19,-2.3,-14.39,7.63,15.35,18.66
288,Angel One Ltd,Investment Banking & Brokerage,24322.86,"2,687.70",20.75,6.08,-10.08,-3.98,4.31,27.01,27.91
289,Bandhan Bank Ltd,Private Banks,24150.07,149.63,8.8,-12.13,-9.65,-12.57,0.98,11.88,8.92
290,Affle 3i Ltd,Advertising,24103.87,"1,680.90",63.12,-9.34,-1.75,6.34,8.18,14.03,16.1
291,Ramco Cements Limited,Cement,23889.16,"1,006.60",87.62,-3.81,2.43,3.81,3.21,3.71,6.49
292,Anand Rathi Wealth Ltd,Asset Management,23783.75,"2,888.80",79.32,-9.26,50.65,40.06,34.59,44.45,52.89
293,Jyoti CNC Automation Ltd,Industrial Machinery,23638.36,"1,038.90",74.8,14.09,-16.63,-14.91,14.02,20.72,25.44
294,Firstsource Solutions Ltd,Outsourced services,23630.87,350.4,39.75,4.24,-9.89,-1.68,5.77,15.24,17.35
295,Timken India Ltd,Industrial Machinery,23576.56,"3,116.10",52.7,5.35,0.07,-7.03,8.29,17,19.12
296,Karur Vysya Bank Ltd,Private Banks,23537.24,247.95,12.12,0.34,29.58,33.76,1.97,17.68,14.84
297,Inox Wind Ltd,Heavy Electrical Equipments,23471.20,134.7,52.37,-12.01,-28.32,-26.81,4.19,10.06,12.35
298,EIH Ltd,"Hotels, Resorts & Cruise Lines",23369.86,374.95,31.6,-3.12,1.3,3.06,4.93,16.75,19.91
299,Manappuram Finance Ltd,Consumer Finance,23276.96,279.05,19.14,-1.56,21.14,85.84,1.87,10.12,3.45
300,Sagility Ltd,Specialized Finance,23130.44,50.01,42.9,3.61,16.66,74.37,2.77,7.3,9.03
301,Eris Lifesciences Ltd,Pharmaceuticals,22938.92,"1,652.10",65.2,6.46,7.18,12.1,7.01,10.84,13.43
302,IIFL Finance Ltd,Investment Banking & Brokerage,22819.48,557.4,60.25,9.15,33.83,34.82,1.64,2.91,1.16
303,Redington Ltd,Technology Hardware,22749.64,288.05,14.18,10.35,7.98,50.63,2.47,18.82,29.22
304,Pfizer Ltd,Pharmaceuticals,22729.76,"5,000.00",29.61,-7.01,-3.52,-4.92,5.39,19.65,23.6
305,PNB Housing Finance Ltd,Home Financing,22718.95,881.45,11.73,-4.93,-15.8,1.75,1.35,12.16,3.28
306,Astrazeneca Pharma India Ltd,Pharmaceuticals,22592.50,"9,026.00",195.2,-3.35,12.73,39.78,29.33,15.62,19.36
307,Shyam Metalics and Energy Ltd,Iron & Steel,22587.97,818.4,24.87,-10.09,-6.1,-0.41,2,8.41,11.83
308,Welspun Corp Ltd,Iron & Steel,22370.23,865.55,11.72,0.92,11.48,15.86,2.89,28.26,29.07
309,CreditAccess Grameen Ltd,Consumer Finance,22274.24,"1,389.20",41.92,-2.81,21.47,49.46,3.2,7.86,2.59
310,Sumitomo Chemical India Ltd,Commodity Chemicals,22206.99,451.1,43.93,-15.54,-15.53,-19,7.64,18.9,22.91
311,CESC Ltd,Power Generation,22190.05,167.13,16.21,-6.82,-1.26,-4.24,1.76,11.14,10.04
312,Deepak Nitrite Ltd,Commodity Chemicals,22167.96,"1,580.50",31.79,-7.62,-22.72,-41.39,4.09,13.61,14.5
313,Emami Ltd,FMCG - Personal Products,22121.82,515.55,27.43,-6.95,-12.6,-23.98,8.21,31.31,32.89
314,Force Motors Ltd,Four Wheelers,22045.20,"16,795.00",27.53,2.52,58.71,141.29,7.26,30.26,37.08
315,Cohance Lifesciences Ltd,Pharmaceuticals,21798.68,560.8,81.38,-34.76,-48.65,-56.66,11.84,13.77,13.36
316,Sun Tv Network Ltd,TV Channels & Broadcasters,21365.30,542.9,12.55,-3.02,-14.31,-28.51,1.83,15.34,18.95
317,Himadri Speciality Chemical Ltd,Commodity Chemicals,21290.70,440.65,38.32,-10.55,-7.67,-10.08,5.65,16.31,21
318,Brigade Enterprises Ltd,Real Estate,21264.01,899.2,31.01,-13.38,-16.97,-26.77,3.59,14.48,12.79
319,eClerx Services Limited,Outsourced services,21205.43,"4,428.20",39.19,-0.67,31.67,33.81,9.19,23.75,27.97
320,Aadhar Housing Finance Ltd,Consumer Finance,21035.47,487.05,23.07,-7.23,8.41,21.69,3.3,16.85,5.17
321,Wockhardt Ltd,Pharmaceuticals,21003.74,"1,270.20",-446.89,-3.46,-4.83,-1.92,4.51,-1.13,3.93
322,Neuland Laboratories Ltd,Pharmaceuticals,20890.91,"16,846.00",80.32,2.16,48.79,13.41,13.7,18.53,20.69
323,Sundram Fasteners Ltd,Auto Parts,20748.08,964.85,38.49,0.26,-4.52,-14.8,5.41,14.82,18.24
324,Aditya Birla Sun Life AMC Ltd,Asset Management,20698.99,725.7,22.24,-13.52,-0.74,-15.38,5.55,26.99,32.11
325,Anant Raj Ltd,Real Estate,20539.98,594.4,48.27,-7.65,13.82,-11.69,4.9,10.81,10.57
326,Kalpataru Projects International Ltd,Power Infrastructure,20485.87,"1,226.40",34.98,-4.7,9.72,9.53,3.17,10.11,18.5
327,Tata Chemicals Ltd,Diversified Chemicals,20484.95,803.9,87.17,-10.75,-8.84,-25.7,0.91,1.03,3.53
328,Bayer Cropscience Ltd,Fertilizers & Agro Chemicals,20382.14,"4,607.50",35.88,-9.53,-10.2,-20.37,7.15,19.93,23.97
329,City Union Bank Ltd,Private Banks,20144.26,273.82,17.93,21.48,39.6,57.55,2.13,12.58,10.05
330,Poly Medicure Ltd,Health Care Equipment & Supplies,19516.77,"1,908.80",57.65,0.29,-21.61,-36.42,7.06,15.99,16.54
331,Computer Age Management Services Ltd,Diversified Financials,19350.43,"3,894.40",41.15,0.45,-2.09,-14.31,17.29,46.22,49.56
332,Chalet Hotels Ltd,"Hotels, Resorts & Cruise Lines",19299.38,881.9,135.37,-6.18,-3.54,-1.75,6.19,5.51,12.25
333,Castrol India Ltd,Commodity Chemicals,19189.96,191.64,20.7,-2.65,-7.84,-0.76,8.42,42.15,53.57
334,RBL Bank Ltd,Private Banks,19015.06,308.25,26.52,-3.25,50.65,94.71,1.21,4.7,1.94
335,Aditya Birla Real Estate Ltd,Textiles,18971.65,"1,733.70",-117.63,1.43,-21.01,-34.72,4.88,-4.04,-1.65
336,KEC International Ltd,Construction & Engineering,18827.00,699.75,32.99,-16.15,-18.77,-32.7,3.52,12.09,26.38
337,Netweb Technologies India Ltd,IT Services & Consulting,18613.63,"3,297.40",162.61,-12.37,73.86,14.75,35.1,24.02,29.29
338,DCM Shriram Ltd,Diversified Chemicals,18600.91,"1,189.70",30.78,-1.85,13.82,-2.79,2.66,8.93,11.19
339,Sai Life Sciences Ltd,Biotechnology,18579.50,874.65,109.21,-1.32,18.93,14.39,8.73,10.96,12.68
340,Tbo Tek Ltd,Tour & Travel Services,18418.45,"1,705.30",80.12,8.57,30.5,11,15.41,26.43,22.45
341,BASF India Ltd,Diversified Chemicals,18371.29,"4,228.20",38.35,-5.35,-20.76,-26.66,5.06,13.97,17.25
342,Capri Global Capital Ltd,Consumer Finance,18352.12,188.1,38.35,-7.9,18.34,-3.38,4.26,11.76,3.31
343,Onesource Specialty Pharma Ltd,Biotechnology,18305.71,"1,609.40","-1,019.25",-12.42,-8.79,-5.88,3.11,-0.57,1.53
344,Five-Star Business Finance Ltd,Consumer Finance,18123.43,605.95,16.9,14.93,-14.32,-6.65,2.87,18.65,10.06
345,E I D-Parry (India) Ltd,Sugar,18089.66,"1,025.80",20.6,-2,3.92,18.6,1.4,7.28,20.23
346,Kfin Technologies Ltd,Business Support Services,18024.53,"1,050.40",54.19,-9.63,-2.07,-4.82,12.8,26.1,28.65
347,Alembic Pharmaceuticals Ltd,Pharmaceuticals,17764.39,905.15,30.45,-2.19,-8.52,-17.2,3.42,11.66,14.66
348,Bikaji Foods International Ltd,FMCG - Foods,17728.18,705.5,88.27,-3.39,-3.34,-8.29,11.97,14.9,17.08
349,Chambal Fertilisers and Chemicals Ltd,Fertilizers & Agro Chemicals,17646.73,446.7,10.7,-9.63,-23.88,-6.78,2.01,20.45,24.43
350,Schneider Electric Infrastructure Ltd,Heavy Electrical Equipments,17557.41,714.05,65.54,-14.29,5.22,-12.57,23.49,44.11,35.47
351,Amara Raja Energy & Mobility Ltd,Batteries,17467.94,945.6,18.49,-4.31,-9.93,-23.86,2.36,13.32,16.79
352,Atul Ltd,Diversified Chemicals,17430.99,"5,971.50",36.02,0.86,-16.21,-20.09,3.08,8.94,11.75
353,Kajaria Ceramics Ltd,Building Products - Ceramics,17371.83,"1,087.60",59.02,-10.01,3.63,-11.4,6.18,10.73,14.96
354,Deepak Fertilisers and Petrochemicals Corp Ltd,Fertilizers & Agro Chemicals,17220.10,"1,377.20",18.45,-5.22,0.83,6.36,2.75,15.78,17.08
355,Triveni Turbine Ltd,Heavy Electrical Equipments,17215.13,538.9,48.2,3.24,-8.78,-29.48,14.12,32.76,38.84
356,Ola Electric Mobility Ltd,Two Wheelers,17123.49,40.59,-7.52,-20.68,-22.72,-41.66,3.33,-63.55,-25.4
357,Devyani International Ltd,Restaurants & Cafes,17115.97,139.7,"1,872.64",-15.42,-20.42,-17.1,12.21,0.66,6.63
358,Crompton Greaves Consumer Electricals Ltd,Home Electronics & Appliances,17089.50,265.05,30.74,-10.35,-25.75,-34.63,4.44,15.24,19.23
359,Jubilant Pharmova Ltd,Pharmaceuticals,17038.16,"1,087.80",20.3,-3.86,-3,-2.16,2.73,14.4,11.72
360,Gujarat State Petronet Ltd,Gas Distribution,16785.29,294.55,15.11,-5.27,-11.71,-13.27,1.08,7.42,13.26
361,Century Plyboards (India) Ltd,Wood Products,16726.29,789.95,90.26,2.01,2.96,10.67,7.03,8.08,11.77
362,Sarda Energy & Minerals Ltd,Iron & Steel,16658.82,489,23.8,-12.31,10.05,11.34,2.61,13.48,12.51
363,Data Patterns (India) Ltd,Aerospace & Defense Equipments,16466.00,"2,946.40",74.23,5.08,4.3,27.43,10.92,15.66,19.68
364,Maharashtra Scooters Ltd,Two Wheelers,16460.57,"14,034.00",76.79,-13.12,1.05,49.35,0.53,0.74,0.62
365,Kirloskar Oil Engines Ltd,Industrial Machinery,16422.45,"1,157.50",33.57,25.47,33.39,3.81,5.37,17.11,16.15
366,Ventive Hospitality Ltd,"Hotels, Resorts & Cruise Lines",16386.45,727.8,136.22,-5.69,-5.09,3.33,2.77,-,6
367,Choice International Ltd,Investment Banking & Brokerage,16362.78,780.25,100.57,-3.35,10.45,49.85,14.8,18.64,15.57
368,PG Electroplast Ltd,Electronic Equipments,16354.09,570.35,56.82,-0.36,-26.08,-16.44,5.78,14.89,14.42
369,Zensar Technologies Ltd,IT Services & Consulting,16294.78,716.15,25.08,-11.27,-14.66,-1.53,4,17.03,20.39
370,Sobha Ltd,Real Estate,16221.71,"1,548.90",171.35,-1.92,14.33,-3.54,3.56,2.68,5.98
371,Dr. Agarwal's Health Care Ltd,Hospitals & Diagnostic Centres,16017.22,506.35,191.91,-2.15,31.98,26.07,8.31,5.05,8.63
372,Godawari Power and Ispat Ltd,Iron & Steel,16003.84,236.9,19.72,-9.29,18.04,27.7,3.24,17.1,21.98
373,Craftsman Automation Ltd,Industrial Machinery,15887.82,"7,021.00",81.66,1.45,28.29,34.61,5.56,8.44,10.28
374,Carborundum Universal Ltd,Industrial Machinery,15852.31,835.15,54.15,-7.6,-16.64,-40.58,4.31,8.43,12.47
375,Syrma SGS Technology Ltd,Electronic Equipments,15783.06,833.8,92.91,6.33,50.29,49.99,8.65,9.7,14.86
376,Elgi Equipments Ltd,Industrial Machinery,15654.07,480.5,44.7,0.6,0.27,-25.01,8.39,20.14,26.4
377,Signatureglobal (India) Ltd,Real Estate,15565.77,"1,111.70",153.99,0.47,-6.31,-16.25,21.33,14.87,6.72
378,Great Eastern Shipping Company Ltd,Oil & Gas - Storage & Transportation,15534.49,"1,064.00",6.63,6.05,14.19,-3.07,1.09,17.59,16.61
379,Aditya Birla Lifestyle Brands Ltd,Retail - Apparel,15452.95,129.15,259.28,-7.93,-18.59,-18.59,12.1,-,13.39
380,CEAT Ltd,Tires & Rubber,15400.74,"3,872.90",32.58,-7.77,3.66,32.92,3.52,11.22,15.23
381,Reliance Power Ltd,Power Generation,15318.90,37.2,5.2,-18.13,-26.6,7.55,0.94,21.09,16.13
382,Akzo Nobel India Ltd,Specialty Chemicals,15286.06,"3,397.50",35.59,2.5,-2.03,-6.72,11.49,32.29,39.89
383,Doms Industries Ltd,Stationery,15283.62,"2,525.90",75.53,0.33,1.29,-17.7,14.12,21.03,24.06
384,Intellect Design Arena Ltd,Software Services,15262.66,"1,088.80",45.87,10.98,0.27,50.04,5.42,12.63,15.61
385,V Guard Industries Ltd,Electrical Components & Equipments,15243.70,341.2,48.59,-6.9,-11.15,-17.24,7.27,16.04,19.01
386,R R Kabel Ltd,Cables,15239.90,"1,362.20",48.91,6.45,3.33,-7.43,7.08,15.65,20.82
387,BEML Ltd,Rail,15189.41,"1,841.30",51.92,-18.13,-13.95,-6.55,5.26,10.53,11.44
388,Ircon International Ltd,Construction & Engineering,15071.76,160.83,20.72,-6.61,-14.28,-18.13,2.37,11.86,9.44
389,Natco Pharma Ltd,Pharmaceuticals,15067.62,834,7.99,1.88,-5.18,-38.9,1.98,28,30.12
390,Whirlpool of India Ltd,Home Electronics & Appliances,15010.21,"1,195.30",41.81,-13.12,-6.03,-33.2,3.76,9.17,11.76
391,Gujarat Mineral Development Corporation Ltd,Mining - Diversified,14933.28,488.05,21.78,-20.09,34.93,41.79,2.33,10.96,12.42
392,Concord Biotech Ltd,Pharmaceuticals,14768.67,"1,402.20",39.74,-4.33,-8.54,-31.99,8.15,22.26,26.79
393,Afcons Infrastructure Ltd,Construction & Engineering,14761.04,402,30.32,-9.64,-7.17,-23.9,2.81,10.99,15.25
394,Chennai Petroleum Corporation Ltd,Oil & Gas - Refining & Marketing,14730.32,"1,018.80",68.8,26.65,48.33,72.3,1.79,2.44,5.19
395,UTI Asset Management Company Ltd,Asset Management,14694.87,"1,140.60",20.09,-14.61,-5.01,-11.42,2.85,14.44,20.12
396,Caplin Point Laboratories Ltd,Pharmaceuticals,14588.16,"1,905.00",27.2,-4.18,-12.65,-3.62,5.05,20.5,23.34
397,Vedant Fashions Ltd,Textiles,14582.03,611.9,37.54,-13.23,-17.21,-57.06,8.16,22.93,24.49
398,Swan Corp Ltd,Textiles,14398.64,445.55,19.06,6.21,1.32,-25.38,1.61,8.92,15.18
399,Aptus Value Housing Finance India Ltd,Home Financing,14338.91,280.5,19.09,-10.56,-18.49,-10,3.32,18.58,8.77
400,JBM Auto Ltd,Auto Parts,14337.46,606.5,71.01,-6.73,-17.08,-17.9,10.34,15.66,18.88
401,Nava Limited,Iron & Steel,14319.86,515.45,13.12,-15.67,13.5,0.09,1.52,12.31,15.42
402,Trident Ltd,Textiles,14297.64,27.82,38.65,-1.85,-16.03,-12.84,3.09,8.28,10.23
403,ACME Solar Holdings Ltd,Renewable Energy,14128.23,236.85,56.04,-17.85,-4.12,-8.2,3.13,7.1,6.52
404,LT Foods Ltd,Packaged Foods & Meats,13961.30,404.75,23.06,-5.94,-3.91,14.13,3.62,16.63,20.38
405,Brainbees Solutions Ltd,Retail - Apparel,13849.21,307.85,-72.32,-14.37,-17.94,-43.35,2.62,-4.22,-1.12
406,Indiamart Intermesh Ltd,Online Services,13848.89,"2,359.50",25.15,-2.41,1.17,2.17,6.34,28.09,24.52
407,International Gemmological Institute (India) Ltd,Education Services,13839.91,321.65,32.39,-5.27,-14.35,-33.3,13.02,54.37,49.51
408,Aarti Industries Ltd,Specialty Chemicals,13807.57,379.75,41.73,-0.57,-18.87,-13.28,2.46,6.07,7.62
409,Minda Corporation Ltd,Auto Parts,13796.86,593.4,54.02,3.82,13.38,21.82,6.27,12.21,13.89
410,Kirloskar Brothers Ltd,Industrial Machinery,13741.71,"1,680.70",33.1,-10.49,-8.33,-24.23,6.54,21.71,25.3
411,Niva Bupa Health Insurance Company Ltd,Insurance,13718.49,76.08,64.25,-0.2,-16.64,-0.98,4.49,8.36,6.46
412,Rainbow Children's Medicare Ltd,Hospitals & Diagnostic Centres,13691.19,"1,347.00",56.24,-1.48,-0.77,-17.56,9.28,17.77,18.27
413,Techno Electric & Engineering Company Ltd,Construction & Engineering,13687.30,"1,166.30",32.36,-10.69,-8.53,-21.18,3.66,14.33,13.09
414,Blue Dart Express Ltd,Logistics,13597.29,"5,714.50",53.87,2.46,-20.49,-23.92,8.72,17.25,18.32
415,IFCI Ltd,Specialized Finance,13592.82,50.28,79.47,-9.54,-13.98,-22.11,0.9,1.5,3.79
416,Leela Palaces Hotels & Resorts Ltd,"Hotels, Resorts & Cruise Lines",13445.14,409.55,281.16,-6.1,-5.97,-5.97,3.73,12.27,7.25
417,Gravita India Ltd,Metals - Lead,13340.84,"1,816.10",42.71,8.98,-7.07,-14.69,6.42,21.34,17.96
418,Jaiprakash Power Ventures Ltd,Renewable Energy,13268.30,19.65,16.31,7.86,29.28,21.22,1.08,6.84,10.06
419,Aavas Financiers Ltd,Home Financing,13219.81,"1,618.70",23.03,-2.07,-8.31,-2.08,3.03,14.12,3.99
420,JM Financial Ltd,Investment Banking & Brokerage,13138.14,139.9,16,-20.27,14.56,4.87,1.28,7.72,4.96
421,CCL Products (India) Ltd,Tea & Coffee,13132.42,983.3,42.31,17.1,22.16,31.52,6.68,17.05,17.86
422,Bls International Services Ltd,Outsourced services,13005.32,312.95,25.59,-0.64,-24.12,-19.27,6.44,29.37,28.17
423,"Bombay Burmah Trading Corporation, Ltd",Tea & Coffee,12985.95,"1,828.70",11.57,-10.26,-8.49,-27.54,1.66,15.57,37.07
424,KSB Ltd,Industrial Machinery,12957.22,748.25,52.36,-7.74,-7.98,-9.69,8.72,17.76,21.55
425,Granules India Ltd,Pharmaceuticals,12930.60,545.9,25.78,-4.79,4.98,-5.07,3.48,14.45,18.1
426,Bata India Ltd,Footwear,12926.01,"1,006.30",39.09,-13.97,-21.69,-23.85,8.21,21.32,19.66
427,PCBL Chemical Ltd,Commodity Chemicals,12799.34,326.2,29.45,-10.63,-19.15,-17.29,3.45,12.49,13.26
428,Usha Martin Ltd,Iron & Steel,12696.75,412.55,31.17,-6.31,30.08,7.24,4.61,15.87,18.32
429,Nuvoco Vistas Corporation Ltd,Cement,12670.11,355.05,580.13,-14.6,-0.38,2.66,1.41,0.24,4.05
430,Welspun Living Ltd,Textiles,12602.19,130.27,19.72,2.96,-12.99,-13.55,2.56,13.41,15.36
431,Newgen Software Technologies Ltd,Software Services,12571.74,873.95,39.88,-0.39,-30.39,-21.95,8.29,23.01,25.22
432,Indian Energy Exchange Ltd,Power Trading & Consultancy,12475.99,140.24,29.07,-5.21,-27.9,-15.75,10.98,40.71,47.67
433,Zen Technologies Ltd,Electronic Equipments,12432.92,"1,397.40",44.37,3.43,-25.58,-22.91,7.16,25.45,23.57
434,Sammaan Capital Ltd,Home Financing,12393.73,151.74,-6.86,-19.53,23.15,-6.23,0.57,-8.69,-3.89
435,Vardhman Textiles Ltd,Textiles,12387.70,425.15,14.02,-1.72,-14.05,-6.62,1.24,9.22,11.25
436,Indegene Ltd,Business Support Services,12350.38,515.25,30.37,-5.25,-15.41,-22.76,4.72,20.11,20.33
437,Cyient Ltd,Software Services,12341.90,"1,103.60",20.05,-6.29,-18.32,-40.24,2.14,11.94,15.48
438,India Cements Ltd,Cement,12298.27,399.55,-85.59,1.35,22.17,11.51,1.21,-1.82,0.51
439,JK Tyre & Industries Ltd,Tires & Rubber,12244.58,441.7,24.73,8.2,16.79,21.05,2.46,10.32,13.78
440,Jupiter Wagons Ltd,Rail,12180.97,289,31.86,-10.61,-27.95,-36.77,4.4,17.38,19.6
441,NMDC Steel Ltd,Iron & Steel,11986.18,40.99,-5.05,-8.62,3.75,-7.39,0.91,-16.6,-14.38
442,Mahanagar Gas Ltd,Gas Distribution,11952.11,"1,206.80",11.49,-7.91,-10.03,1.63,2.03,18.85,21.64
443,Can Fin Homes Ltd,Home Financing,11853.38,883.3,13.83,4.43,16.89,4.63,2.34,18.22,3.27
444,RITES Ltd,Business Support Services,11790.17,236.64,30.64,-0.52,-14.56,-19.06,4.29,14.07,20.44
445,Lemon Tree Hotels Ltd,"Hotels, Resorts & Cruise Lines",11753.39,150,59.79,-10.99,7.05,19.36,6.57,11.79,13.6
446,Home First Finance Company India Ltd,Home Financing,11752.62,"1,120.20",30.76,-7.13,-4.66,-2.04,4.66,16.46,4.15
447,Action Construction Equipment Ltd,Heavy Machinery,11554.00,969.3,28.23,-12.5,-28.48,-22.79,7.15,28.74,35.47
448,SBFC Finance Ltd,Specialized Finance,11524.15,107.34,33.37,-9.57,1.46,22.07,3.61,11.57,5.43
449,Jammu and Kashmir Bank Ltd,Private Banks,11446.79,105.29,5.5,-1.87,4.78,8.27,0.81,15.77,14.08
450,Finolex Cables Ltd,Cables,11437.57,753.4,16.32,-5.31,-22.86,-33.78,2.08,13.42,15.6
451,Titagarh Rail Systems Ltd,Rail,11369.83,837.1,41.14,-3.85,-8.09,-29.04,4.58,11.76,17.08
452,Finolex Industries Ltd,Building Products - Pipes,11304.01,185.12,14.13,-3.31,-17.18,-30.67,1.85,13.64,16.75
453,Engineers India Ltd,Construction & Engineering,11199.26,195.43,19.32,-0.68,-2.32,6.76,4.2,23.59,23.53
454,Jubilant Ingrevia Ltd,Specialty Chemicals,11194.74,725,44.57,4.5,6.09,2.06,3.82,8.87,11.05
455,Jyothy Labs Ltd,FMCG - Household Products,11189.03,302.65,30.21,-4.87,-10.41,-26.39,5.46,19.19,22.69
456,Shipping Corporation of India Ltd,Logistics,11160.54,232.45,13.23,-11.44,15.98,4.21,1.34,10.64,10.32
457,Elecon Engineering Company Ltd,Heavy Electrical Equipments,11094.33,497.75,26.73,-13.81,-26.07,-16.37,5.55,23.04,25.1
458,Godrej Agrovet Ltd,Agro Products,10864.66,571.15,25.28,-15.1,-23.7,-22.96,4.17,15.56,20.8
459,NCC Ltd,Construction & Engineering,10820.94,173.23,13.2,-19.38,-26.09,-42.18,1.44,11.46,23.72
460,Graphite India Ltd,Electrical Components & Equipments,10820.88,552.4,23.42,-0.74,2.89,15.13,1.84,8.05,9.91
461,Railtel Corporation of India Ltd,Communication & Networking,10775.51,338.15,35.94,-8.89,-12.24,-14.79,5.39,15.67,18.28
462,Birlasoft Ltd,IT Services & Consulting,10695.28,380,20.7,-0.39,-9.21,-33.23,3.07,15.85,19.59
463,INOX India Ltd,Industrial Machinery,10648.37,"1,175.50",47.11,-2.48,-0.44,3.99,12.19,29.69,34.13
464,PVR INOX Ltd,Theatres,10592.83,"1,049.60",-37.89,-7.96,6.13,-29.11,1.5,-3.89,3.16
465,Vijaya Diagnostic Centre Ltd,Hospitals & Diagnostic Centres,10570.40,"1,008.60",73.88,3.01,7.78,-12.67,13.23,19.61,19.79
466,Olectra Greentech Ltd,Electrical Components & Equipments,10435.74,"1,269.00",75.13,-10.33,-5.68,-14.94,9.91,14.11,19.16
467,Jindal SAW Ltd,Building Products - Pipes,10324.63,162.21,5.94,-9.68,-24.85,-46.89,0.94,17.05,21.73
468,HFCL Ltd,Telecom Equipments,10262.03,70.71,57.84,-8.53,-17.75,-44.31,2.49,4.37,8.62
469,Clean Science and Technology Ltd,Specialty Chemicals,10142.77,926.1,38.36,-10.06,-35.02,-28.17,7.16,20.19,24.76
470,Metropolis Healthcare Ltd,Hospitals & Diagnostic Centres,10059.16,"1,952.10",69.39,1.9,17.71,-7.84,7.54,11.91,13.72
471,Latent View Analytics Ltd,IT Services & Consulting,10006.73,499.2,57.45,14.21,19.25,12.33,6.51,11.97,14.24
472,Sonata Software Ltd,IT Services & Consulting,9994.95,357.95,23.54,-3.33,-10.42,-35.22,5.86,27.29,31.39
473,Tata Teleservices (Maharashtra) Ltd,Telecom Services,9903.66,50.8,-7.77,-7.96,-32.15,-26.43,-0.56,-,-4.84
474,SKF India Ltd,Industrial Machinery,9735.82,"1,947.60",17.2,-11.21,-6.69,-11.73,3.75,21.43,28.79
475,HEG Ltd,Electrical Components & Equipments,9589.05,525.4,83.34,-3.82,7.71,26.56,2.15,2.59,4.37
476,Honasa Consumer Ltd,FMCG - Personal Products,9447.11,295.05,130,6.41,-6.54,30.06,8.01,6.39,7.86
477,Zee Entertainment Enterprises Ltd,TV Channels & Broadcasters,9437.10,97.01,13.89,-6.22,-23.95,-18.12,0.82,6.07,7.97
478,Blue Jet Healthcare Ltd,Pharmaceuticals,9435.65,564.4,30.92,-15.8,-30.39,6.85,8.33,30.85,34.97
479,Ramkrishna Forgings Ltd,Rail,9422.87,531.75,22.7,-4.39,-13.03,-45.35,3.1,14.64,9.38
480,RHI Magnesita India Ltd,Cement,9343.16,461.15,46.13,0.41,-1.32,-10.94,2.34,5.16,7.04
481,Aditya Birla Fashion and Retail Ltd,Retail - Apparel,9201.84,75.43,-24.48,-7.78,-13.05,-30.69,1.35,-6.52,0.46
482,CE Info Systems Ltd,Software Services,9197.07,"1,660.20",62.48,-8.47,-14.84,0.65,11.62,20.28,25.9
483,Balrampur Chini Mills Ltd,Sugar,9135.23,449.85,20.91,-2.82,-20.56,-16.09,2.41,12.14,14.34
484,MMTC Ltd,Commodities Trading,9027.00,60.28,104.2,-10.31,-5.93,-21.12,5.3,5.21,6.93
485,Alkyl Amines Chemicals Ltd,Specialty Chemicals,8773.75,"1,714.10",47.15,-8.43,-8.89,-11.38,6.26,13.94,16.17
486,Transformers and Rectifiers (India) Ltd,Heavy Electrical Equipments,8631.27,298.85,40.28,-40.21,-42.61,-38.29,6.78,23.35,24.24
487,Tejas Networks Ltd,Telecom Equipments,8541.80,476.7,19.13,-11.17,-35.62,-63.36,2.22,12.77,22.45
488,Alok Industries Ltd,Textiles,8277.06,16.6,-10.14,-5.01,-11.28,-19.18,-0.48,-,-3.59
489,Campus Activewear Ltd,Apparel & Accessories,8188.21,273.7,67.57,-4.61,-1.19,2.16,10.82,17.21,18.71
490,Sapphire Foods India Ltd,Restaurants & Cafes,8180.80,259.55,424.98,-11.87,-19.72,-16.97,5.86,1.41,5.22
491,Rashtriya Chemicals and Fertilizers Ltd,Fertilizers & Agro Chemicals,7964.17,139.52,32.85,-2.67,-9.3,-13.24,1.68,5.19,9.38
492,Triveni Engineering and Industries Ltd,Sugar,7751.18,355.2,31.87,-1.09,-16.13,-7.16,2.45,8.03,10.94
493,Maharashtra Seamless Ltd,Building Products - Pipes,7652.03,585,9.84,-0.6,-15.63,-10.69,1.21,12.88,14.83
